created_at_tz,confidence_mean,confidence_std,count,positive_mean,count_positive,negative_mean,count_negative,count_neutral
2021-11-16 00:00:00,0.019131169193650478,0.5258698471377805,17,0.30446888857592064,7,-0.4813648063580508,7.0,3.0
2021-11-16 12:00:00,0.28831656249282356,0.39674862779858583,8,0.3789577751873471,4,-0.21061092986921487,2.0,2.0
2021-11-17 00:00:00,0.35956982884052646,0.3441873634417125,6,0.4445918593720375,3,-0.01559462492366348,1.0,2.0
2021-11-17 12:00:00,0.21583369242703407,0.6154472222279569,7,0.5529524078541594,3,-0.5272870612746203,2.0,2.0
2021-11-18 00:00:00,0.6154966221232597,0.2441811650311841,6,0.68237181817083,3,,0.0,3.0
2021-11-18 12:00:00,0.3671816401359184,0.4999655163140138,7,0.2862322152891796,3,-0.5415169112679705,1.0,3.0
2021-11-19 00:00:00,0.2773302369012839,0.6483004707592582,8,0.30847099474197365,2,-0.5593443551068619,2.0,4.0
2021-11-19 12:00:00,0.612816370905075,0.27052491624012015,6,0.6850951205411918,3,,0.0,3.0
2021-11-20 00:00:00,0.20403911251373902,0.8156034614557598,4,0.1964390536746241,1,-0.944455926012225,1.0,2.0
2021-11-20 12:00:00,-0.8788674950490787,0.11121064030252505,2,,0,-0.8788674950490787,2.0,0.0
2021-11-21 00:00:00,0.11832015005318322,0.5332804438646158,5,0.46247511020300375,2,-0.7838635363498135,1.0,2.0
2021-11-21 12:00:00,0.3279991945531134,0.5167654877969188,9,0.6461110023635696,1,-0.43632235450286516,2.0,6.0
2021-11-22 00:00:00,0.2706591703918259,0.6107992516400992,6,0.5652713988254662,3,-0.4292899408007256,2.0,1.0
2021-11-22 12:00:00,-0.04574679664625578,0.6371182368379338,4,0.5400733268327199,1,-0.5926724509186176,2.0,1.0
2021-11-23 00:00:00,0.2656639885037445,0.6026635566873275,14,0.583828841671061,6,-0.719860827995893,3.0,5.0
2021-11-23 12:00:00,0.44208267167747783,0.5509990721868588,5,0.906069568198092,1,-0.15628533014613744,2.0,2.0
2021-11-24 00:00:00,0.12782716809748548,0.5981260364487402,23,0.4556573879147816,6,-0.442570958562143,10.0,7.0
2021-11-24 12:00:00,0.7073705067893455,,1,0.7073705067893455,1,,,
